,Temp C
2022-07-23 07:00:00,24.513
2022-07-23 07:15:00,24.513
2022-07-23 07:30:00,24.513
2022-07-23 07:45:00,24.513
2022-07-23 08:00:00,24.533
2022-07-23 08:15:00,24.627599999999997
2022-07-23 08:30:00,24.749133333333337
2022-07-23 08:45:00,24.866933333333336
2022-07-23 09:00:00,24.964566666666666
2022-07-23 09:15:00,25.058333333333334
2022-07-23 09:30:00,25.133366666666667
2022-07-23 09:45:00,25.1966
2022-07-23 10:00:00,25.24663333333333
2022-07-23 10:15:00,25.290399999999998
2022-07-23 10:30:00,25.334600000000002
2022-07-23 10:45:00,25.361800000000002
2022-07-23 11:00:00,25.361
2022-07-23 11:15:00,25.341833333333334
2022-07-23 11:30:00,25.328
2022-07-23 11:45:00,25.3128
2022-07-23 12:00:00,25.2952
2022-07-23 12:15:00,25.2872
2022-07-23 12:30:00,25.267999999999997
2022-07-23 12:45:00,25.264
2022-07-23 13:00:00,25.260666666666665
2022-07-23 13:15:00,25.244000000000003
2022-07-23 13:30:00,25.24316666666667
2022-07-23 13:45:00,25.244000000000003
2022-07-23 14:00:00,25.247333333333334
2022-07-23 14:15:00,25.263166666666667
2022-07-23 14:30:00,25.264
2022-07-23 14:45:00,25.264
2022-07-23 15:00:00,25.2515
2022-07-23 15:15:00,25.240666666666666
2022-07-23 15:30:00,25.257333333333335
2022-07-23 15:45:00,25.2672
2022-07-23 16:00:00,25.2848
2022-07-23 16:15:00,25.288
2022-07-23 16:30:00,25.288
2022-07-23 16:45:00,25.2888
2022-07-23 17:00:00,25.288
2022-07-23 17:15:00,25.2888
2022-07-23 17:30:00,25.288
2022-07-23 17:45:00,25.288
2022-07-23 18:00:00,25.2824
2022-07-23 18:15:00,25.2672
2022-07-23 18:30:00,25.2565
2022-07-23 18:45:00,25.239833333333333
2022-07-23 19:00:00,25.231800000000003
2022-07-23 19:15:00,25.215
2022-07-23 19:30:00,25.195800000000002
2022-07-23 19:45:00,25.16753333333333
2022-07-23 20:00:00,25.082600000000003
2022-07-23 20:15:00,24.999266666666667
2022-07-23 20:30:00,24.912
2022-07-23 20:45:00,24.837833333333332
2022-07-23 21:00:00,24.7614
2022-07-23 21:15:00,24.702966666666665
2022-07-23 21:30:00,24.6348
2022-07-23 21:45:00,24.555733333333333
2022-07-23 22:00:00,24.501800000000003
2022-07-23 22:15:00,24.4602
2022-07-23 22:30:00,24.424166666666668
2022-07-23 22:45:00,24.38403333333333
2022-07-23 23:00:00,24.353599999999997
2022-07-23 23:15:00,24.3136
2022-07-23 23:30:00,24.2728
2022-07-23 23:45:00,24.236333333333334
2022-07-24 00:00:00,24.1854
2022-07-24 00:15:00,24.123800000000003
2022-07-24 00:30:00,24.0854
2022-07-24 00:45:00,24.034733333333335
2022-07-24 01:00:00,23.934
2022-07-24 01:15:00,23.83
2022-07-24 01:30:00,23.753766666666664
2022-07-24 01:45:00,23.6762
2022-07-24 02:00:00,23.6162
2022-07-24 02:15:00,23.5786
2022-07-24 02:30:00,23.5378
2022-07-24 02:45:00,23.5098
2022-07-24 03:00:00,23.5226
2022-07-24 03:15:00,23.525
2022-07-24 03:30:00,23.525
2022-07-24 03:45:00,23.5162
2022-07-24 04:00:00,23.5074
2022-07-24 04:15:00,23.501
2022-07-24 04:30:00,23.489
2022-07-24 04:45:00,23.477
2022-07-24 05:00:00,23.456200000000003
2022-07-24 05:15:00,23.449
2022-07-24 05:30:00,23.4282
2022-07-24 05:45:00,23.4058
2022-07-24 06:00:00,23.390600000000003
2022-07-24 06:15:00,23.3738
2022-07-24 06:30:00,23.3722
2022-07-24 06:45:00,23.357799999999997
2022-07-24 07:00:00,23.357799999999997
2022-07-24 07:15:00,23.3642
